date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:14	85168/85168	---MCZ	200	added ('OK')	text/html	etag:W/%2214cb0-5fe8ec92240d2%22	https://preview.cruip.com/neon/index.html	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/index.html	(from )
14:05:15	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2008%20Aug%202023%2014:05:14%20GMT	https://preview.cruip.com/robots.txt		(from )
14:05:15	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%22705d-5fe8d875b4e7b%22	https://preview.cruip.com/neon/css/vendors/aos.css	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/css/vendors/aos.css	(from https://preview.cruip.com/neon/index.html)
14:05:15	36162/36162	---MCZ	200	added ('OK')	text/css	etag:W/%228d42-5fe8d86f644d6%22	https://preview.cruip.com/neon/style.css	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/style.css	(from https://preview.cruip.com/neon/index.html)
14:05:16	8596/8596	---MCZ	200	added ('OK')	text/html	etag:W/%222194-5fe8ec9235a18%22	https://preview.cruip.com/neon/signin.html	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/signin.html	(from https://preview.cruip.com/neon/index.html)
14:05:16	91824/91824	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22166b0-5fe8d8710ce6d%22	https://preview.cruip.com/neon/images/hero-illustration.svg	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/images/hero-illustration.svg	(from https://preview.cruip.com/neon/index.html)
14:05:16	23588/23588	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c24-5fe8d8719d723%22	https://preview.cruip.com/neon/images/features.svg	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/images/features.svg	(from https://preview.cruip.com/neon/index.html)
14:05:17	524/524	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2220c-5fe8d8712aef0%22	https://preview.cruip.com/neon/images/features-illustration.svg	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/images/features-illustration.svg	(from https://preview.cruip.com/neon/index.html)
14:05:18	52225/52225	---M--	200	added ('OK')	image/png	etag:%22cc01-5fe8d87197961%22	https://preview.cruip.com/neon/images/features-02.png	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/images/features-02.png	(from https://preview.cruip.com/neon/index.html)
14:05:18	524/524	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2220c-5fe8d87264ed6%22	https://preview.cruip.com/neon/images/pricing-illustration.svg	C:/Mes%20Sites%20Web/GUY-%20neon/preview.cruip.com/neon/images/pricing-illustration.svg	(from https://preview.cruip.com/neon/index.html)
